event,station,time,phase
80,V0506,2024-06-16 12:03:26.248768237,P
80,V0808,2024-06-16 12:03:26.248767466,P
80,V0805,2024-06-16 12:03:26.248768846,P
80,V0410,2024-06-16 12:03:26.248767682,P
80,V0412,2024-06-16 12:03:26.248766760,P
81,V0505,2024-06-16 12:03:26.647354503,P
81,V0409,2024-06-16 12:03:26.647353421,P
81,V0407,2024-06-16 12:03:26.647356285,P
81,V0408,2024-06-16 12:03:26.647354425,P
81,V0504,2024-06-16 12:03:26.647352636,P
81,V0410,2024-06-16 12:03:26.647354363,P
81,V0412,2024-06-16 12:03:26.647356237,P
82,V0303,2024-06-16 12:03:29.727978553,P
82,V0505,2024-06-16 12:03:29.727977987,P
82,V0409,2024-06-16 12:03:29.727978672,P
82,V0408,2024-06-16 12:03:29.727979627,P
82,V0504,2024-06-16 12:03:29.727977561,P
82,V0410,2024-06-16 12:03:29.727978762,P
82,V0305,2024-06-16 12:03:29.727980232,P
82,V0302,2024-06-16 12:03:29.727978156,P
82,V0412,2024-06-16 12:03:29.727979870,P
82,V0304,2024-06-16 12:03:29.727978575,P
83,V0807,2024-06-16 12:03:30.237808858,P
83,V0505,2024-06-16 12:03:30.237805431,P
83,V0409,2024-06-16 12:03:30.237807587,P
83,V0506,2024-06-16 12:03:30.237808653,P
83,V0808,2024-06-16 12:03:30.237809627,P
83,V0805,2024-06-16 12:03:30.237809224,P
83,V0408,2024-06-16 12:03:30.237809642,P
83,V0504,2024-06-16 12:03:30.237807431,P
83,V0410,2024-06-16 12:03:30.237806044,P
83,V0412,2024-06-16 12:03:30.237806964,P
84,V0807,2024-06-16 12:03:34.129376501,P
84,V0303,2024-06-16 12:03:34.129376491,P
84,V0505,2024-06-16 12:03:34.129373743,P
84,V0409,2024-06-16 12:03:34.129376211,P
84,V0117,2024-06-16 12:03:34.129376424,P
84,V0506,2024-06-16 12:03:34.129375712,P
84,V0808,2024-06-16 12:03:34.129376940,P
84,V0805,2024-06-16 12:03:34.129377330,P
84,V0504,2024-06-16 12:03:34.129375530,P
84,V0410,2024-06-16 12:03:34.129375051,P
84,V0305,2024-06-16 12:03:34.129376739,P
84,V0302,2024-06-16 12:03:34.129376863,P
84,V0412,2024-06-16 12:03:34.129375196,P
84,V0304,2024-06-16 12:03:34.129376482,P
85,V0509,2024-06-16 12:03:34.540664553,P
85,V0807,2024-06-16 12:03:34.540660027,P
85,V0303,2024-06-16 12:03:34.540663715,P
85,V0414,2024-06-16 12:03:34.540661559,P
85,V0811,2024-06-16 12:03:34.540664425,P
85,V0307,2024-06-16 12:03:34.540664315,P
85,V0812,2024-06-16 12:03:34.540666731,P
85,V0508,2024-06-16 12:03:34.540661151,P
85,V0306,2024-06-16 12:03:34.540663174,P
85,V0809,2024-06-16 12:03:34.540660446,P
85,V0505,2024-06-16 12:03:34.540660231,P
85,V0510,2024-06-16 12:03:34.540667955,P
85,V0409,2024-06-16 12:03:34.540662886,P
85,V0117,2024-06-16 12:03:34.540661126,P
85,V0506,2024-06-16 12:03:34.540659568,P
85,V0309,2024-06-16 12:03:34.540668100,P
85,V0808,2024-06-16 12:03:34.540659678,P
85,V0407,2024-06-16 12:03:34.540666985,P
85,V0308,2024-06-16 12:03:34.540665937,P
85,V0805,2024-06-16 12:03:34.540662460,P
85,V0408,2024-06-16 12:03:34.540664901,P
85,V0504,2024-06-16 12:03:34.540662739,P
85,V0410,2024-06-16 12:03:34.540661056,P
85,V0305,2024-06-16 12:03:34.540662857,P
85,V0302,2024-06-16 12:03:34.540664412,P
85,V0810,2024-06-16 12:03:34.540662091,P
85,V0412,2024-06-16 12:03:34.540659803,P
85,V0417,2024-06-16 12:03:34.540665530,P
85,V0304,2024-06-16 12:03:34.540663692,P
86,V0807,2024-06-16 12:03:36.900641426,P
86,V0414,2024-06-16 12:03:36.900643648,P
86,V0508,2024-06-16 12:03:36.900643977,P
86,V0809,2024-06-16 12:03:36.900643344,P
86,V0505,2024-06-16 12:03:36.900641357,P
86,V0409,2024-06-16 12:03:36.900642347,P
86,V0506,2024-06-16 12:03:36.900642308,P
86,V0808,2024-06-16 12:03:36.900642083,P
86,V0805,2024-06-16 12:03:36.900642414,P
86,V0408,2024-06-16 12:03:36.900644356,P
86,V0504,2024-06-16 12:03:36.900642999,P
86,V0410,2024-06-16 12:03:36.900640659,P
86,V0412,2024-06-16 12:03:36.900640302,P
87,V0509,2024-06-16 12:03:40.492503555,P
87,V0807,2024-06-16 12:03:40.492501012,P
87,V0303,2024-06-16 12:03:40.492505096,P
87,V0414,2024-06-16 12:03:40.492501827,P
87,V0811,2024-06-16 12:03:40.492502331,P
87,V0307,2024-06-16 12:03:40.492503336,P
87,V0812,2024-06-16 12:03:40.492504656,P
87,V0508,2024-06-16 12:03:40.492501304,P
87,V0306,2024-06-16 12:03:40.492502922,P
87,V0809,2024-06-16 12:03:40.492498951,P
87,V0505,2024-06-16 12:03:40.492502974,P
87,V0510,2024-06-16 12:03:40.492506574,P
87,V0409,2024-06-16 12:03:40.492505558,P
87,V0117,2024-06-16 12:03:40.492500376,P
87,V0506,2024-06-16 12:03:40.492501124,P
87,V0309,2024-06-16 12:03:40.492506433,P
87,V0808,2024-06-16 12:03:40.492499610,P
87,V0308,2024-06-16 12:03:40.492504524,P
87,V0805,2024-06-16 12:03:40.492504098,P
87,V0504,2024-06-16 12:03:40.492505368,P
87,V0410,2024-06-16 12:03:40.492503792,P
87,V0305,2024-06-16 12:03:40.492503583,P
87,V0302,2024-06-16 12:03:40.492505988,P
87,V0810,2024-06-16 12:03:40.492500052,P
87,V0412,2024-06-16 12:03:40.492502333,P
87,V0417,2024-06-16 12:03:40.492504587,P
87,V0304,2024-06-16 12:03:40.492505063,P
88,V0807,2024-06-16 12:03:46.206380780,P
88,V0414,2024-06-16 12:03:46.206381464,P
88,V0508,2024-06-16 12:03:46.206381467,P
88,V0809,2024-06-16 12:03:46.206380825,P
88,V0505,2024-06-16 12:03:46.206381397,P
88,V0409,2024-06-16 12:03:46.206383836,P
88,V0117,2024-06-16 12:03:46.206383110,P
88,V0506,2024-06-16 12:03:46.206380107,P
88,V0808,2024-06-16 12:03:46.206380200,P
88,V0805,2024-06-16 12:03:46.206383404,P
88,V0504,2024-06-16 12:03:46.206383981,P
88,V0410,2024-06-16 12:03:46.206381814,P
88,V0810,2024-06-16 12:03:46.206382451,P
88,V0412,2024-06-16 12:03:46.206380096,P
89,V0807,2024-06-16 12:03:49.103452688,P
89,V0414,2024-06-16 12:03:49.103455159,P
89,V0508,2024-06-16 12:03:49.103455127,P
89,V0809,2024-06-16 12:03:49.103453714,P
89,V0505,2024-06-16 12:03:49.103454102,P
89,V0409,2024-06-16 12:03:49.103456254,P
89,V0117,2024-06-16 12:03:49.103455816,P
89,V0506,2024-06-16 12:03:49.103453686,P
89,V0808,2024-06-16 12:03:49.103452521,P
89,V0805,2024-06-16 12:03:49.103455330,P
89,V0504,2024-06-16 12:03:49.103456396,P
89,V0410,2024-06-16 12:03:49.103454421,P
89,V0305,2024-06-16 12:03:49.103457704,P
89,V0810,2024-06-16 12:03:49.103455613,P
89,V0412,2024-06-16 12:03:49.103453205,P
90,V0807,2024-06-16 12:03:55.013942221,P
90,V0303,2024-06-16 12:03:55.013946816,P
90,V0414,2024-06-16 12:03:55.013944628,P
90,V0508,2024-06-16 12:03:55.013944771,P
90,V0306,2024-06-16 12:03:55.013947500,P
90,V0809,2024-06-16 12:03:55.013944357,P
90,V0505,2024-06-16 12:03:55.013941161,P
90,V0409,2024-06-16 12:03:55.013942249,P
90,V0117,2024-06-16 12:03:55.013945859,P
90,V0506,2024-06-16 12:03:55.013942866,P
90,V0808,2024-06-16 12:03:55.013943026,P
90,V0407,2024-06-16 12:03:55.013946469,P
90,V0805,2024-06-16 12:03:55.013942872,P
90,V0408,2024-06-16 12:03:55.013944331,P
90,V0504,2024-06-16 12:03:55.013942778,P
90,V0410,2024-06-16 12:03:55.013940466,P
90,V0305,2024-06-16 12:03:55.013946705,P
90,V0302,2024-06-16 12:03:55.013947153,P
90,V0810,2024-06-16 12:03:55.013946175,P
90,V0412,2024-06-16 12:03:55.013940675,P
90,V0304,2024-06-16 12:03:55.013946806,P
91,V0807,2024-06-16 12:03:56.331808971,P
91,V0303,2024-06-16 12:03:56.331805042,P
91,V0414,2024-06-16 12:03:56.331809935,P
91,V0307,2024-06-16 12:03:56.331810890,P
91,V0508,2024-06-16 12:03:56.331809204,P
91,V0306,2024-06-16 12:03:56.331808705,P
91,V0809,2024-06-16 12:03:56.331810256,P
91,V0505,2024-06-16 12:03:56.331805219,P
91,V0409,2024-06-16 12:03:56.331806904,P
91,V0117,2024-06-16 12:03:56.331807854,P
91,V0506,2024-06-16 12:03:56.331807326,P
91,V0808,2024-06-16 12:03:56.331809414,P
91,V0407,2024-06-16 12:03:56.331809890,P
91,V0805,2024-06-16 12:03:56.331809273,P
91,V0408,2024-06-16 12:03:56.331808194,P
91,V0504,2024-06-16 12:03:56.331805865,P
91,V0410,2024-06-16 12:03:56.331806395,P
91,V0305,2024-06-16 12:03:56.331806407,P
91,V0302,2024-06-16 12:03:56.331805032,P
91,V0412,2024-06-16 12:03:56.331806941,P
91,V0304,2024-06-16 12:03:56.331805052,P
92,V0807,2024-06-16 12:03:58.811619007,P
92,V0303,2024-06-16 12:03:58.811620865,P
92,V0508,2024-06-16 12:03:58.811620497,P
92,V0809,2024-06-16 12:03:58.811620397,P
92,V0505,2024-06-16 12:03:58.811617068,P
92,V0409,2024-06-16 12:03:58.811619755,P
92,V0117,2024-06-16 12:03:58.811619811,P
92,V0506,2024-06-16 12:03:58.811618488,P
92,V0808,2024-06-16 12:03:58.811619363,P
92,V0805,2024-06-16 12:03:58.811620305,P
92,V0504,2024-06-16 12:03:58.811619375,P
92,V0410,2024-06-16 12:03:58.811618202,P
92,V0305,2024-06-16 12:03:58.811620690,P
92,V0412,2024-06-16 12:03:58.811617886,P
92,V0304,2024-06-16 12:03:58.811620851,P
93,V0303,2024-06-16 12:04:00.493742529,P
93,V0505,2024-06-16 12:04:00.493741397,P
93,V0409,2024-06-16 12:04:00.493739970,P
93,V0407,2024-06-16 12:04:00.493740032,P
93,V0502,2024-06-16 12:04:00.493741623,P
93,V0408,2024-06-16 12:04:00.493739431,P
93,V0504,2024-06-16 12:04:00.493739285,P
93,V0410,2024-06-16 12:04:00.493741332,P
93,V0302,2024-06-16 12:04:00.493741746,P
93,V0412,2024-06-16 12:04:00.493743116,P
93,V0304,2024-06-16 12:04:00.493742561,P
94,V0807,2024-06-16 12:04:00.616621724,P
94,V0303,2024-06-16 12:04:00.616617548,P
94,V0307,2024-06-16 12:04:00.616621799,P
94,V0508,2024-06-16 12:04:00.616621545,P
94,V0306,2024-06-16 12:04:00.616619665,P
94,V0809,2024-06-16 12:04:00.616622087,P
94,V0505,2024-06-16 12:04:00.616619864,P
94,V0409,2024-06-16 12:04:00.616622165,P
94,V0117,2024-06-16 12:04:00.616617980,P
94,V0506,2024-06-16 12:04:00.616620296,P
94,V0808,2024-06-16 12:04:00.616621679,P
94,V0504,2024-06-16 12:04:00.616621183,P
94,V0410,2024-06-16 12:04:00.616621251,P
94,V0305,2024-06-16 12:04:00.616617684,P
94,V0302,2024-06-16 12:04:00.616618241,P
94,V0412,2024-06-16 12:04:00.616621004,P
94,V0304,2024-06-16 12:04:00.616617529,P
95,V0807,2024-06-16 12:04:02.471128868,P
95,V0303,2024-06-16 12:04:02.471132096,P
95,V0414,2024-06-16 12:04:02.471131006,P
95,V0508,2024-06-16 12:04:02.471130787,P
95,V0306,2024-06-16 12:04:02.471132815,P
95,V0809,2024-06-16 12:04:02.471130575,P
95,V0505,2024-06-16 12:04:02.471127066,P
95,V0409,2024-06-16 12:04:02.471129505,P
95,V0117,2024-06-16 12:04:02.471131039,P
95,V0506,2024-06-16 12:04:02.471128729,P
95,V0808,2024-06-16 12:04:02.471129389,P
95,V0805,2024-06-16 12:04:02.471130090,P
95,V0408,2024-06-16 12:04:02.471131579,P
95,V0504,2024-06-16 12:04:02.471129469,P
95,V0410,2024-06-16 12:04:02.471127672,P
95,V0305,2024-06-16 12:04:02.471131903,P
95,V0302,2024-06-16 12:04:02.471132531,P
95,V0810,2024-06-16 12:04:02.471132323,P
95,V0412,2024-06-16 12:04:02.471127329,P
95,V0304,2024-06-16 12:04:02.471132083,P
96,V0807,2024-06-16 12:04:06.878419543,P
96,V0414,2024-06-16 12:04:06.878420772,P
96,V0508,2024-06-16 12:04:06.878420174,P
96,V0306,2024-06-16 12:04:06.878421635,P
96,V0809,2024-06-16 12:04:06.878419728,P
96,V0505,2024-06-16 12:04:06.878419379,P
96,V0117,2024-06-16 12:04:06.878419503,P
96,V0506,2024-06-16 12:04:06.878418658,P
96,V0808,2024-06-16 12:04:06.878419148,P
96,V0410,2024-06-16 12:04:06.878420404,P
96,V0305,2024-06-16 12:04:06.878421244,P
96,V0810,2024-06-16 12:04:06.878421210,P
96,V0412,2024-06-16 12:04:06.878419242,P
97,V0509,2024-06-16 12:04:08.866513679,P
97,V0807,2024-06-16 12:04:08.866511340,P
97,V0303,2024-06-16 12:04:08.866513386,P
97,V0414,2024-06-16 12:04:08.866511824,P
97,V0811,2024-06-16 12:04:08.866513135,P
97,V0307,2024-06-16 12:04:08.866512608,P
97,V0508,2024-06-16 12:04:08.866510994,P
97,V0306,2024-06-16 12:04:08.866511663,P
97,V0809,2024-06-16 12:04:08.866510190,P
97,V0505,2024-06-16 12:04:08.866512013,P
97,V0117,2024-06-16 12:04:08.866509085,P
97,V0506,2024-06-16 12:04:08.866510414,P
97,V0808,2024-06-16 12:04:08.866510385,P
97,V0410,2024-06-16 12:04:08.866513091,P
97,V0305,2024-06-16 12:04:08.866511932,P
97,V0810,2024-06-16 12:04:08.866511135,P
97,V0412,2024-06-16 12:04:08.866511769,P
97,V0304,2024-06-16 12:04:08.866513353,P
98,V0807,2024-06-16 12:04:11.065174794,P
98,V0303,2024-06-16 12:04:11.065176070,P
98,V0414,2024-06-16 12:04:11.065176169,P
98,V0508,2024-06-16 12:04:11.065175695,P
98,V0809,2024-06-16 12:04:11.065176016,P
98,V0505,2024-06-16 12:04:11.065172115,P
98,V0409,2024-06-16 12:04:11.065175055,P
98,V0117,2024-06-16 12:04:11.065175484,P
98,V0506,2024-06-16 12:04:11.065173611,P
98,V0808,2024-06-16 12:04:11.065175080,P
98,V0805,2024-06-16 12:04:11.065176052,P
98,V0504,2024-06-16 12:04:11.065174692,P
98,V0410,2024-06-16 12:04:11.065173386,P
98,V0305,2024-06-16 12:04:11.065175898,P
98,V0412,2024-06-16 12:04:11.065172966,P
98,V0304,2024-06-16 12:04:11.065176056,P
99,V0807,2024-06-16 12:04:16.499786074,P
99,V0303,2024-06-16 12:04:16.499786356,P
99,V0508,2024-06-16 12:04:16.499787028,P
99,V0505,2024-06-16 12:04:16.499783541,P
99,V0409,2024-06-16 12:04:16.499786240,P
99,V0117,2024-06-16 12:04:16.499785938,P
99,V0506,2024-06-16 12:04:16.499785052,P
99,V0808,2024-06-16 12:04:16.499786378,P
99,V0504,2024-06-16 12:04:16.499785649,P
99,V0410,2024-06-16 12:04:16.499784881,P
99,V0305,2024-06-16 12:04:16.499786353,P
99,V0302,2024-06-16 12:04:16.499786830,P
99,V0412,2024-06-16 12:04:16.499784717,P
99,V0304,2024-06-16 12:04:16.499786343,P
0,V0807,2024-06-16 11:59:15.181105423,S
0,V0505,2024-06-16 11:59:15.181098093,S
0,V0409,2024-06-16 11:59:15.181101875,S
0,V0506,2024-06-16 11:59:15.181104981,S
0,V0808,2024-06-16 11:59:15.181107069,S
0,V0805,2024-06-16 11:59:15.181105709,S
0,V0408,2024-06-16 11:59:15.181105804,S
0,V0504,2024-06-16 11:59:15.181101021,S
0,V0410,2024-06-16 11:59:15.181099656,S
0,V0412,2024-06-16 11:59:15.181101902,S
1,V0807,2024-06-16 11:59:21.453560553,S
1,V0303,2024-06-16 11:59:21.453561560,S
1,V0414,2024-06-16 11:59:21.453561791,S
1,V0307,2024-06-16 11:59:21.453562235,S
1,V0508,2024-06-16 11:59:21.453559856,S
1,V0306,2024-06-16 11:59:21.453559438,S
1,V0809,2024-06-16 11:59:21.453559367,S
1,V0505,2024-06-16 11:59:21.453560282,S
1,V0117,2024-06-16 11:59:21.453553805,S
1,V0506,2024-06-16 11:59:21.453558097,S
1,V0808,2024-06-16 11:59:21.453559263,S
1,V0410,2024-06-16 11:59:21.453562795,S
1,V0305,2024-06-16 11:59:21.453558949,S
1,V0302,2024-06-16 11:59:21.453563385,S
1,V0810,2024-06-16 11:59:21.453561279,S
1,V0412,2024-06-16 11:59:21.453560624,S
1,V0304,2024-06-16 11:59:21.453561495,S
2,V0509,2024-06-16 11:59:23.707990408,S
2,V0807,2024-06-16 11:59:23.707987277,S
2,V0303,2024-06-16 11:59:23.707985466,S
2,V0403,2024-06-16 11:59:23.708011947,S
2,V0414,2024-06-16 11:59:23.707987829,S
2,V0811,2024-06-16 11:59:23.707989778,S
2,V0307,2024-06-16 11:59:23.707985559,S
2,V0812,2024-06-16 11:59:23.707993595,S
2,V0703,2024-06-16 11:59:23.708003858,S
2,V0508,2024-06-16 11:59:23.707985626,S
2,V0306,2024-06-16 11:59:23.707982684,S
2,V0109,2024-06-16 11:59:23.708004649,S
2,V0704,2024-06-16 11:59:23.708015155,S
2,V0809,2024-06-16 11:59:23.707985519,S
2,V0505,2024-06-16 11:59:23.707986882,S
2,V0510,2024-06-16 11:59:23.707996459,S
2,V0409,2024-06-16 11:59:23.707992487,S
2,V0117,2024-06-16 11:59:23.707976707,S
2,V0506,2024-06-16 11:59:23.707984565,S
2,V0309,2024-06-16 11:59:23.707994310,S
2,V0402,2024-06-16 11:59:23.708016472,S
2,V0808,2024-06-16 11:59:23.707985872,S
2,V0802,2024-06-16 11:59:23.708013448,S
2,V0407,2024-06-16 11:59:23.707999744,S
2,V0308,2024-06-16 11:59:23.707989444,S
2,V0502,2024-06-16 11:59:23.708004326,S
2,V0310,2024-06-16 11:59:23.707999322,S
2,V0102,2024-06-16 11:59:23.708035604,S
2,V0702,2024-06-16 11:59:23.707995881,S
2,V0805,2024-06-16 11:59:23.707991751,S
2,V0408,2024-06-16 11:59:23.707995963,S
2,V0504,2024-06-16 11:59:23.707991115,S
2,V0410,2024-06-16 11:59:23.707989539,S
2,V0305,2024-06-16 11:59:23.707982456,S
2,V0302,2024-06-16 11:59:23.707987426,S
2,V0104,2024-06-16 11:59:23.708025760,S
2,V0810,2024-06-16 11:59:23.707986685,S
2,V0412,2024-06-16 11:59:23.707987480,S
2,V0417,2024-06-16 11:59:23.707993201,S
2,V0105,2024-06-16 11:59:23.708025678,S
2,V0404,2024-06-16 11:59:23.708011912,S
2,V0304,2024-06-16 11:59:23.707985395,S
3,V0303,2024-06-16 11:59:27.087329212,S
3,V0505,2024-06-16 11:59:27.087327833,S
3,V0409,2024-06-16 11:59:27.087327284,S
3,V0506,2024-06-16 11:59:27.087333916,S
3,V0407,2024-06-16 11:59:27.087330749,S
3,V0502,2024-06-16 11:59:27.087334671,S
3,V0805,2024-06-16 11:59:27.087334718,S
3,V0408,2024-06-16 11:59:27.087328141,S
3,V0504,2024-06-16 11:59:27.087325203,S
3,V0410,2024-06-16 11:59:27.087328640,S
3,V0305,2024-06-16 11:59:27.087333055,S
3,V0302,2024-06-16 11:59:27.087327911,S
3,V0412,2024-06-16 11:59:27.087331569,S
3,V0304,2024-06-16 11:59:27.087329270,S
4,V0807,2024-06-16 11:59:27.235905502,S
4,V0303,2024-06-16 11:59:27.235898366,S
4,V0414,2024-06-16 11:59:27.235906395,S
4,V0307,2024-06-16 11:59:27.235902895,S
4,V0508,2024-06-16 11:59:27.235904074,S
4,V0306,2024-06-16 11:59:27.235899023,S
4,V0809,2024-06-16 11:59:27.235904876,S
4,V0505,2024-06-16 11:59:27.235903290,S
4,V0117,2024-06-16 11:59:27.235895274,S
4,V0506,2024-06-16 11:59:27.235902490,S
4,V0808,2024-06-16 11:59:27.235904746,S
4,V0308,2024-06-16 11:59:27.235907191,S
4,V0504,2024-06-16 11:59:27.235906580,S
4,V0410,2024-06-16 11:59:27.235906129,S
4,V0305,2024-06-16 11:59:27.235896609,S
4,V0302,2024-06-16 11:59:27.235900149,S
4,V0810,2024-06-16 11:59:27.235906184,S
4,V0412,2024-06-16 11:59:27.235904886,S
4,V0304,2024-06-16 11:59:27.235898306,S
5,V0807,2024-06-16 11:59:30.240811223,S
5,V0303,2024-06-16 11:59:30.240814913,S
5,V0414,2024-06-16 11:59:30.240812552,S
5,V0811,2024-06-16 11:59:30.240816630,S
5,V0307,2024-06-16 11:59:30.240815018,S
5,V0508,2024-06-16 11:59:30.240810916,S
5,V0306,2024-06-16 11:59:30.240812588,S
5,V0809,2024-06-16 11:59:30.240810050,S
5,V0505,2024-06-16 11:59:30.240811466,S
5,V0117,2024-06-16 11:59:30.240807834,S
5,V0506,2024-06-16 11:59:30.240808855,S
5,V0808,2024-06-16 11:59:30.240809778,S
5,V0805,2024-06-16 11:59:30.240816285,S
5,V0504,2024-06-16 11:59:30.240816410,S
5,V0410,2024-06-16 11:59:30.240813741,S
5,V0305,2024-06-16 11:59:30.240812381,S
5,V0302,2024-06-16 11:59:30.240816663,S
5,V0810,2024-06-16 11:59:30.240812410,S
5,V0412,2024-06-16 11:59:30.240811216,S
5,V0304,2024-06-16 11:59:30.240814851,S
6,V0807,2024-06-16 11:59:37.046721173,S
6,V0303,2024-06-16 11:59:37.046714011,S
6,V0306,2024-06-16 11:59:37.046719149,S
6,V0505,2024-06-16 11:59:37.046716394,S
6,V0409,2024-06-16 11:59:37.046721010,S
6,V0117,2024-06-16 11:59:37.046715849,S
6,V0506,2024-06-16 11:59:37.046718320,S
6,V0808,2024-06-16 11:59:37.046721439,S
6,V0504,2024-06-16 11:59:37.046719045,S
6,V0410,2024-06-16 11:59:37.046719194,S
6,V0305,2024-06-16 11:59:37.046714962,S
6,V0302,2024-06-16 11:59:37.046715116,S
6,V0412,2024-06-16 11:59:37.046719048,S
6,V0304,2024-06-16 11:59:37.046713986,S
7,V0807,2024-06-16 11:59:38.792501797,S
7,V0809,2024-06-16 11:59:38.792505920,S
7,V0505,2024-06-16 11:59:38.792501216,S
7,V0409,2024-06-16 11:59:38.792502896,S
7,V0506,2024-06-16 11:59:38.792503609,S
7,V0808,2024-06-16 11:59:38.792503294,S
7,V0805,2024-06-16 11:59:38.792503364,S
7,V0504,2024-06-16 11:59:38.792504303,S
7,V0410,2024-06-16 11:59:38.792499580,S
7,V0412,2024-06-16 11:59:38.792499323,S
8,V0807,2024-06-16 11:59:39.687092914,S
8,V0414,2024-06-16 11:59:39.687097827,S
8,V0809,2024-06-16 11:59:39.687096786,S
8,V0505,2024-06-16 11:59:39.687093996,S
8,V0409,2024-06-16 11:59:39.687095956,S
8,V0506,2024-06-16 11:59:39.687095439,S
8,V0808,2024-06-16 11:59:39.687094197,S
8,V0805,2024-06-16 11:59:39.687095258,S
8,V0504,2024-06-16 11:59:39.687097307,S
8,V0410,2024-06-16 11:59:39.687092656,S
8,V0412,2024-06-16 11:59:39.687091703,S
9,V0807,2024-06-16 11:59:42.101537890,S
9,V0303,2024-06-16 11:59:42.101538954,S
9,V0414,2024-06-16 11:59:42.101540446,S
9,V0508,2024-06-16 11:59:42.101539144,S
9,V0306,2024-06-16 11:59:42.101540798,S
9,V0809,2024-06-16 11:59:42.101539789,S
9,V0505,2024-06-16 11:59:42.101533392,S
9,V0409,2024-06-16 11:59:42.101539206,S
9,V0117,2024-06-16 11:59:42.101537332,S
9,V0506,2024-06-16 11:59:42.101535210,S
9,V0808,2024-06-16 11:59:42.101538163,S
9,V0805,2024-06-16 11:59:42.101540770,S
9,V0408,2024-06-16 11:59:42.101543055,S
9,V0504,2024-06-16 11:59:42.101538154,S
9,V0410,2024-06-16 11:59:42.101536102,S
9,V0305,2024-06-16 11:59:42.101538396,S
9,V0302,2024-06-16 11:59:42.101540127,S
9,V0810,2024-06-16 11:59:42.101542754,S
9,V0412,2024-06-16 11:59:42.101535079,S
9,V0304,2024-06-16 11:59:42.101538919,S
10,V0505,2024-06-16 11:59:42.428437085,S
10,V0409,2024-06-16 11:59:42.428433989,S
10,V0407,2024-06-16 11:59:42.428441545,S
10,V0408,2024-06-16 11:59:42.428437356,S
10,V0504,2024-06-16 11:59:42.428435567,S
10,V0410,2024-06-16 11:59:42.428434951,S
10,V0412,2024-06-16 11:59:42.428438863,S
11,V0509,2024-06-16 11:59:42.991218181,S
11,V0807,2024-06-16 11:59:42.991210219,S
11,V0303,2024-06-16 11:59:42.991222475,S
11,V0414,2024-06-16 11:59:42.991212447,S
11,V0811,2024-06-16 11:59:42.991216691,S
11,V0307,2024-06-16 11:59:42.991220037,S
11,V0812,2024-06-16 11:59:42.991221559,S
11,V0508,2024-06-16 11:59:42.991212631,S
11,V0306,2024-06-16 11:59:42.991219122,S
11,V0809,2024-06-16 11:59:42.991207812,S
11,V0505,2024-06-16 11:59:42.991214777,S
11,V0510,2024-06-16 11:59:42.991224665,S
11,V0409,2024-06-16 11:59:42.991219383,S
11,V0117,2024-06-16 11:59:42.991215320,S
11,V0506,2024-06-16 11:59:42.991211441,S
11,V0309,2024-06-16 11:59:42.991225881,S
11,V0808,2024-06-16 11:59:42.991207367,S
11,V0407,2024-06-16 11:59:42.991227752,S
11,V0308,2024-06-16 11:59:42.991222269,S
11,V0310,2024-06-16 11:59:42.991230118,S
11,V0702,2024-06-16 11:59:42.991230070,S
11,V0805,2024-06-16 11:59:42.991216658,S
11,V0408,2024-06-16 11:59:42.991223510,S
11,V0504,2024-06-16 11:59:42.991219712,S
11,V0410,2024-06-16 11:59:42.991215519,S
11,V0305,2024-06-16 11:59:42.991219972,S
11,V0302,2024-06-16 11:59:42.991224050,S
11,V0810,2024-06-16 11:59:42.991211608,S
11,V0412,2024-06-16 11:59:42.991212276,S
11,V0417,2024-06-16 11:59:42.991219620,S
11,V0304,2024-06-16 11:59:42.991222419,S
12,V0807,2024-06-16 11:59:48.633340962,S
12,V0303,2024-06-16 11:59:48.633340725,S
12,V0508,2024-06-16 11:59:48.633343447,S
12,V0505,2024-06-16 11:59:48.633335915,S
12,V0409,2024-06-16 11:59:48.633340855,S
12,V0117,2024-06-16 11:59:48.633340250,S
12,V0506,2024-06-16 11:59:48.633339487,S
12,V0808,2024-06-16 11:59:48.633341780,S
12,V0805,2024-06-16 11:59:48.633342779,S
12,V0504,2024-06-16 11:59:48.633339407,S
12,V0410,2024-06-16 11:59:48.633338557,S
12,V0305,2024-06-16 11:59:48.633341164,S
12,V0302,2024-06-16 11:59:48.633341536,S
12,V0412,2024-06-16 11:59:48.633338726,S
12,V0304,2024-06-16 11:59:48.633340707,S
13,V0807,2024-06-16 11:59:54.425346023,S
13,V0808,2024-06-16 11:59:54.425346424,S
13,V0412,2024-06-16 11:59:54.425345751,S
14,V0303,2024-06-16 11:59:57.733821135,S
14,V0505,2024-06-16 11:59:57.733822454,S
14,V0409,2024-06-16 11:59:57.733822288,S
14,V0407,2024-06-16 11:59:57.733824752,S
14,V0408,2024-06-16 11:59:57.733822709,S
14,V0504,2024-06-16 11:59:57.733819909,S
14,V0410,2024-06-16 11:59:57.733823649,S
14,V0302,2024-06-16 11:59:57.733819350,S
14,V0304,2024-06-16 11:59:57.733821209,S
15,V0807,2024-06-16 11:59:57.893000231,S
15,V0303,2024-06-16 11:59:57.893005816,S
15,V0414,2024-06-16 11:59:57.893003690,S
15,V0307,2024-06-16 11:59:57.893009863,S
15,V0508,2024-06-16 11:59:57.893003060,S
15,V0306,2024-06-16 11:59:57.893006942,S
15,V0809,2024-06-16 11:59:57.893002999,S
