trace_id,onset_time,polarity,onset_std,phase
8R.V0409..JDD,2024-04-30 04:09:09.007565,-1.0,16.019917449913432,S
8R.V0409..JDD,2024-04-30 04:09:09.019640,-1.0,212.79682750435538,S
8R.V0409..JDD,2024-04-30 04:09:09.040270,-1.0,23.097508479469894,S
8R.V0409..JDD,2024-04-30 04:09:09.052630,-1.0,20.218197501362024,S
8R.V0409..JDD,2024-04-30 04:09:09.170190,-1.0,202.52670521817763,S
8R.V0409..JDD,2024-04-30 04:09:09.190195,-1.0,16.326390305519567,S
8R.V0409..JDD,2024-04-30 04:09:09.215145,-1.0,14.556189510350036,S
8R.V0409..JDD,2024-04-30 04:09:09.300120,-1.0,12.380036596167598,S
8R.V0409..JDD,2024-04-30 04:09:09.382615,-1.0,362.13336138579035,S
8R.V0409..JDD,2024-04-30 04:09:09.410285,0.9996798038482666,5.1507875363771274e-06,P
8R.V0409..JDD,2024-04-30 04:09:09.430155,-1.0,17.62897082205589,S
8R.V0409..JDD,2024-04-30 04:09:09.432735,-1.0,203.94917334013013,S
8R.V0409..JDD,2024-04-30 04:09:09.435090,-1.0,1.8844151368961313,S
8R.V0409..JDD,2024-04-30 04:09:09.442600,-1.0,10.646451933649548,S
8R.V0409..JDD,2024-04-30 04:09:09.452535,-1.0,3.8998953413481994,S
8R.V0409..JDD,2024-04-30 04:09:09.467585,-1.0,9.106232447491942,S
8R.V0409..JDD,2024-04-30 04:09:09.470060,-1.0,2.503059352562176,S
8R.V0409..JDD,2024-04-30 04:09:09.477540,-1.0,0.6102859818083951,S
8R.V0409..JDD,2024-04-30 04:09:09.492605,-1.0,2.4327694808466287,S
8R.V0409..JDD,2024-04-30 04:09:09.495040,-1.0,5.339972483304476,S
8R.V0409..JDD,2024-04-30 04:09:09.501375,-1.0,200.56971153111198,S
8R.V0409..JDD,2024-04-30 04:09:09.500040,-1.0,3.220628662170142,S
8R.V0409..JDD,2024-04-30 04:09:09.502535,-1.0,3.537697856297083,S
8R.V0409..JDD,2024-04-30 04:09:09.529810,-1.0,210.48394189561913,S
8R.V0409..JDD,2024-04-30 04:09:09.530140,-1.0,8.121525944886796,S
8R.V0409..JDD,2024-04-30 04:09:09.532705,-1.0,18.172781845386247,S
8R.V0409..JDD,2024-04-30 04:09:09.535115,-1.0,0.8451542547285166,S
8R.V0409..JDD,2024-04-30 04:09:09.558790,0.9968162178993225,0.0009783746543557403,P
8R.V0409..JDD,2024-04-30 04:09:09.558790,0.9979275465011597,0.00045513131655174256,P
8R.V0409..JDD,2024-04-30 04:09:09.564265,-1.0,350.8684851586859,S
8R.V0409..JDD,2024-04-30 04:09:09.564265,-1.0,145.70910354930766,S
8R.V0409..JDD,2024-04-30 04:09:09.565090,-1.0,3.070597894314954,S
8R.V0409..JDD,2024-04-30 04:09:09.577610,-1.0,8.899954138840796,S
8R.V0409..JDD,2024-04-30 04:09:09.580200,-1.0,20.35313243704762,S
8R.V0409..JDD,2024-04-30 04:09:09.591120,-1.0,253.670654629991,S
8R.V0409..JDD,2024-04-30 04:09:09.591115,-1.0,91.92465859138589,S
8R.V0409..JDD,2024-04-30 04:09:09.597675,-1.0,10.047844727774677,S
8R.V0409..JDD,2024-04-30 04:09:09.605140,-1.0,14.20854155292599,S
8R.V0409..JDD,2024-04-30 04:09:09.607665,-1.0,16.009722811148105,S
8R.V0409..JDD,2024-04-30 04:09:09.610165,-1.0,9.098385144897854,S
8R.V0409..JDD,2024-04-30 04:09:09.617580,-1.0,9.636241116594315,S
8R.V0409..JDD,2024-04-30 04:09:09.655095,-1.0,13.29435203078237,S
8R.V0409..JDD,2024-04-30 04:09:09.668175,-1.0,287.72692020776384,S
8R.V0409..JDD,2024-04-30 04:09:09.668130,0.32973235845565796,0.00026853248197853275,P
8R.V0409..JDD,2024-04-30 04:09:09.677575,-1.0,10.302565561201595,S
8R.V0409..JDD,2024-04-30 04:09:09.680245,-1.0,6.981389254179096,S
8R.V0409..JDD,2024-04-30 04:09:09.685195,-1.0,18.81339622585514,S
8R.V0409..JDD,2024-04-30 04:09:09.695155,-1.0,13.334204903486494,S
8R.V0409..JDD,2024-04-30 04:09:09.707745,0.5536769032478333,9.715336077668175e-06,P
8R.V0409..JDD,2024-04-30 04:09:09.708840,-1.0,315.91487648363994,S
8R.V0409..JDD,2024-04-30 04:09:09.728270,-1.0,317.38112028002564,S
8R.V0409..JDD,2024-04-30 04:09:09.727875,-1.0,79.2754497860183,S
8R.V0409..JDD,2024-04-30 04:09:09.749205,-1.0,380.5189327264352,S
8R.V0409..JDD,2024-04-30 04:09:09.749195,-1.0,163.6632929810095,S
8R.V0409..JDD,2024-04-30 04:09:09.753235,0.9990654587745667,0.0015535407221924388,P
8R.V0409..JDD,2024-04-30 04:09:09.753225,0.9998680353164673,7.377226402094157e-05,P
8R.V0409..JDD,2024-04-30 04:09:09.752865,-1.0,182.21814970422858,S
8R.V0409..JDD,2024-04-30 04:09:09.760125,-1.0,1.558387444947959,S
8R.V0409..JDD,2024-04-30 04:09:09.765600,-1.0,301.48625040567515,S
8R.V0409..JDD,2024-04-30 04:09:09.767605,-1.0,1.3093073414159542,S
8R.V0409..JDD,2024-04-30 04:09:09.775015,-1.0,5.0426750270636544,S
8R.V0409..JDD,2024-04-30 04:09:09.793130,0.10740920156240463,1.0430772761793023e-05,P
8R.V0409..JDD,2024-04-30 04:09:09.793130,0.09628722071647644,1.0885536181520124e-05,P
8R.V0409..JDD,2024-04-30 04:09:09.800020,-1.0,9.676660327925168,S
